from,to
76561198061266696,76561198062234040
76561198061266696,76561198062620305
76561198061266696,76561198062729909
76561198061266696,76561198063045667
76561198061266696,76561198063062835
76561198061266696,76561198063070644
76561198061266696,76561198063101663
76561198061266696,76561198063480015
76561198061266696,76561198063821845
76561198061266696,76561198063862941
76561198061266696,76561198064344220
76561198061266696,76561198064405648
76561198061266696,76561198064580004
76561198061266696,76561198064644765
76561198061266696,76561198064760756
76561198061266696,76561198064831394
76561198061266696,76561198064870880
76561198061266696,76561198064987159
76561198061266696,76561198065026946
76561198061266696,76561198065124280
76561198061266696,76561198065138844
76561198061266696,76561198065244386
76561198061266696,76561198065346589
76561198061266696,76561198065397673
76561198061266696,76561198065526203
76561198061266696,76561198065924763
76561198061266696,76561198065967344
76561198061266696,76561198066139776
76561198061266696,76561198066437655
76561198061266696,76561198066851688
76561198061266696,76561198066855154
76561198061266696,76561198067198043
76561198061266696,76561198067539619
76561198061266696,76561198067747997
76561198061266696,76561198067869769
76561198061266696,76561198067949315
76561198061266696,76561198067961919
76561198061266696,76561198068077265
76561198061266696,76561198068149351
76561198061266696,76561198068457134
76561198061266696,76561198068789626
76561198061266696,76561198068906402
76561198061266696,76561198069336830
76561198061266696,76561198069548956
76561198061266696,76561198069718771
76561198061266696,76561198069758281
76561198061266696,76561198069777033
76561198061266696,76561198070155268
76561198061266696,76561198070167066
76561198061266696,76561198070520589
76561198061266696,76561198070637289
76561198061266696,76561198070880248
76561198061266696,76561198070901310
76561198061266696,76561198071411089
76561198061266696,76561198071462149
76561198061266696,76561198071562803
76561198061266696,76561198071610017
76561198061266696,76561198071646034
76561198061266696,76561198071729569
76561198061266696,76561198071760234
76561198061266696,76561198071761175
76561198061266696,76561198072577910
76561198061266696,76561198072733300
76561198061266696,76561198073597679
76561198061266696,76561198073760320
76561198061266696,76561198074335358
76561198061266696,76561198074451098
76561198061266696,76561198074661894
76561198061266696,76561198074864185
76561198061266696,76561198074931455
76561198061266696,76561198074937418
76561198061266696,76561198074970348
76561198061266696,76561198075318314
76561198061266696,76561198075356831
76561198061266696,76561198075446002
76561198061266696,76561198075678885
76561198061266696,76561198075696944
76561198061266696,76561198075748531
76561198061266696,76561198075857430
76561198061266696,76561198076002720
76561198061266696,76561198076172032
76561198061266696,76561198076240404
76561198061266696,76561198076740355
76561198061266696,76561198076775225
76561198061266696,76561198076778458
76561198061266696,76561198077085909
76561198061266696,76561198077241944
76561198061266696,76561198077415988
76561198061266696,76561198077725411
76561198061266696,76561198077927764
76561198061266696,76561198078140899
76561198061266696,76561198078342505
76561198061266696,76561198078368883
76561198061266696,76561198078427026
76561198061266696,76561198078555950
76561198061266696,76561198078876179
76561198061266696,76561198079106463
76561198061266696,76561198079256315
76561198061266696,76561198079465818
76561198061266696,76561198079488973
76561198061266696,76561198079692668
76561198061266696,76561198079733421
76561198061266696,76561198079937533
76561198061266696,76561198080207011
76561198061266696,76561198080350277
76561198061266696,76561198080711150
76561198061266696,76561198080881332
76561198061266696,76561198081043949
76561198061266696,76561198081052806
76561198061266696,76561198081169692
76561198061266696,76561198081182652
76561198061266696,76561198081184439
76561198061266696,76561198081185139
76561198061266696,76561198081840336
76561198061266696,76561198081856882
76561198061266696,76561198081978308
76561198061266696,76561198082334541
76561198061266696,76561198082356229
76561198061266696,76561198082804931
76561198061266696,76561198082868774
76561198061266696,76561198082910990
76561198061266696,76561198083634468
76561198061266696,76561198083922743
76561198061266696,76561198084093103
76561198061266696,76561198084181410
76561198061266696,76561198084235711
76561198061266696,76561198084476082
76561198061266696,76561198084493763
76561198061266696,76561198084533601
76561198061266696,76561198084587745
76561198061266696,76561198084592977
76561198061266696,76561198084768096
76561198061266696,76561198084930569
76561198061266696,76561198084948543
76561198061266696,76561198085537290
76561198061266696,76561198085610777
76561198061266696,76561198085902391
76561198061266696,76561198086165346
76561198061266696,76561198086237124
76561198061266696,76561198086244273
76561198061266696,76561198086425796
76561198061266696,76561198086494553
76561198061266696,76561198086545716
76561198061266696,76561198087067579
76561198061266696,76561198087161766
76561198061266696,76561198087290402
76561198061266696,76561198087402306
76561198061266696,76561198087444533
76561198061266696,76561198087445960
76561198061266696,76561198087737856
76561198061266696,76561198087795803
76561198061266696,76561198087881865
76561198061266696,76561198087972207
76561198061266696,76561198088099694
76561198061266696,76561198088242052
76561198061266696,76561198088881453
76561198061266696,76561198089312766
76561198061266696,76561198090465248
76561198061266696,76561198090749662
76561198061266696,76561198091107460
76561198061266696,76561198091143086
76561198061266696,76561198091201638
76561198061266696,76561198091342881
76561198061266696,76561198091573525
76561198061266696,76561198091696828
76561198061266696,76561198091704772
76561198061266696,76561198092490523
76561198061266696,76561198093233713
76561198061266696,76561198093710207
76561198061266696,76561198093716167
76561198061266696,76561198093830694
76561198061266696,76561198093913706
76561198061266696,76561198094142871
76561198061266696,76561198094998454
76561198061266696,76561198095273717
76561198061266696,76561198095418495
76561198061266696,76561198095562877
76561198061266696,76561198095873498
76561198061266696,76561198095954379
76561198061266696,76561198096253137
76561198061266696,76561198096354242
76561198061266696,76561198096574144
76561198061266696,76561198096980260
76561198061266696,76561198096995137
76561198061266696,76561198097674840
76561198061266696,76561198097795463
76561198061266696,76561198098360307
76561198061266696,76561198098503127
76561198061266696,76561198098649062
76561198061266696,76561198098749131
76561198061266696,76561198098858775
76561198061266696,76561198100166589
76561198061266696,76561198100388712
76561198061266696,76561198100850239
76561198061266696,76561198100905717
76561198061266696,76561198101087874
76561198061266696,76561198103492769
